epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1095.58,0.90563,0.31922,0.01189,0.99967,1,0.995,0.74368,1.02147,0.2611,0.01778,0.000332298,0.000332298,0.000332298
76,1109.72,0.86247,0.34334,0.01096,0.99806,1,0.995,0.74037,1.02467,0.2529,0.01791,0.000309964,0.000309964,0.000309964
77,1123.15,0.8962,0.28234,0.01182,0.9982,1,0.995,0.74392,1.03685,0.25396,0.01811,0.000288321,0.000288321,0.000288321
78,1137.54,1.07822,0.40169,0.01399,0.99774,1,0.995,0.73848,1.05033,0.26696,0.01826,0.00026739,0.00026739,0.00026739
79,1151.78,0.95298,0.40182,0.01195,0.99556,1,0.995,0.73656,1.04799,0.2635,0.01816,0.000247192,0.000247192,0.000247192
80,1166.88,0.92305,0.35051,0.01182,0.99803,1,0.995,0.74616,1.03661,0.25242,0.018,0.000227747,0.000227747,0.000227747
81,1180.98,0.86944,0.30443,0.01145,0.99765,1,0.995,0.74943,1.01974,0.2477,0.01773,0.000209073,0.000209073,0.000209073
82,1194.19,0.86458,0.35821,0.01117,0.99775,1,0.995,0.75328,0.9959,0.24092,0.01724,0.00019119,0.00019119,0.00019119
83,1207.79,0.94654,0.44512,0.01275,0.99802,1,0.995,0.75853,0.98604,0.23968,0.01708,0.000174115,0.000174115,0.000174115
84,1220.17,0.92904,0.36497,0.01237,1,0.99918,0.995,0.75743,0.9639,0.24918,0.01681,0.000157865,0.000157865,0.000157865
85,1232.77,0.90097,0.37182,0.01214,0.99756,1,0.995,0.75771,0.95509,0.23716,0.01669,0.000142456,0.000142456,0.000142456
86,1246.26,0.93171,0.33558,0.01271,0.99769,1,0.995,0.76921,0.95156,0.2342,0.01665,0.000127904,0.000127904,0.000127904
87,1260.85,0.83679,0.31195,0.01021,0.99844,1,0.995,0.77445,0.9339,0.24151,0.01636,0.000114221,0.000114221,0.000114221
88,1274.93,0.82764,0.30225,0.01043,0.99908,1,0.995,0.772,0.92479,0.25135,0.01623,0.000101423,0.000101423,0.000101423
89,1288.89,0.80415,0.28751,0.01081,0.99969,1,0.995,0.77159,0.91423,0.25783,0.01606,8.95213e-05,8.95213e-05,8.95213e-05
90,1301.99,0.88781,0.34291,0.01193,0.99714,1,0.995,0.76311,0.9304,0.23622,0.01626,7.8528e-05,7.8528e-05,7.8528e-05
